pair_id,region,midline_strategy,movement_region,movement,error,i410_1,i410_2
1,postPM3,US,PosteriorBulb,1,108.390164582871,3928.3861575883,4030.1332399643
1,postPM3,UD,PosteriorBulb,1,101.747082376003,3928.3861575883,4030.1332399643
1,postPM3,RS,PosteriorBulb,1,45.207837486493,3928.3861575883,4030.1332399643
1,postPM3,RD,PosteriorBulb,1,60.2544932914956,3928.3861575883,4030.1332399643
1,postPM3,US,AnteriorBulb,1,108.390164582871,3928.3861575883,4030.1332399643
1,postPM3,UD,AnteriorBulb,1,101.747082376003,3928.3861575883,4030.1332399643
1,postPM3,RS,AnteriorBulb,1,45.207837486493,3928.3861575883,4030.1332399643
1,postPM3,RD,AnteriorBulb,1,60.2544932914956,3928.3861575883,4030.1332399643
1,postPM3,US,SidesOfTip,1,108.390164582871,3928.3861575883,4030.1332399643
1,postPM3,UD,SidesOfTip,1,101.747082376003,3928.3861575883,4030.1332399643
1,postPM3,RS,SidesOfTip,1,45.207837486493,3928.3861575883,4030.1332399643
1,postPM3,RD,SidesOfTip,1,60.2544932914956,3928.3861575883,4030.1332399643
1,postPM3,US,Tip,1,108.390164582871,3928.3861575883,4030.1332399643
1,postPM3,UD,Tip,1,101.747082376003,3928.3861575883,4030.1332399643
1,postPM3,RS,Tip,1,45.207837486493,3928.3861575883,4030.1332399643
1,postPM3,RD,Tip,1,60.2544932914956,3928.3861575883,4030.1332399643
1,prePM7,US,PosteriorBulb,1,126.470551459867,3798.40797322067,3672.25068620661
1,prePM7,UD,PosteriorBulb,1,126.157287014066,3798.40797322067,3672.25068620661
1,prePM7,RS,PosteriorBulb,1,73.7345818664025,3798.40797322067,3672.25068620661
1,prePM7,RD,PosteriorBulb,1,61.5229524782089,3798.40797322067,3672.25068620661
1,prePM7,US,AnteriorBulb,1,126.470551459867,3798.40797322067,3672.25068620661
1,prePM7,UD,AnteriorBulb,1,126.157287014066,3798.40797322067,3672.25068620661
1,prePM7,RS,AnteriorBulb,1,73.7345818664025,3798.40797322067,3672.25068620661
1,prePM7,RD,AnteriorBulb,1,61.5229524782089,3798.40797322067,3672.25068620661
1,prePM7,US,SidesOfTip,1,126.470551459867,3798.40797322067,3672.25068620661
1,prePM7,UD,SidesOfTip,1,126.157287014066,3798.40797322067,3672.25068620661
1,prePM7,RS,SidesOfTip,1,73.7345818664025,3798.40797322067,3672.25068620661
1,prePM7,RD,SidesOfTip,1,61.5229524782089,3798.40797322067,3672.25068620661
1,prePM7,US,Tip,1,126.470551459867,3798.40797322067,3672.25068620661
1,prePM7,UD,Tip,1,126.157287014066,3798.40797322067,3672.25068620661
1,prePM7,RS,Tip,1,73.7345818664025,3798.40797322067,3672.25068620661
1,prePM7,RD,Tip,1,61.5229524782089,3798.40797322067,3672.25068620661
1,pm3,US,PosteriorBulb,1,68.1602033072359,7219.01660291993,7233.34876538945
1,pm3,UD,PosteriorBulb,1,76.0492817190095,7219.01660291993,7233.34876538945
