pair_id,region,midline_strategy,error,i410_1,i410_2
1,prePM7,US,-115.291746917801,5185.89539879099,5301.18714570879
1,prePM7,UD,22.998572171531,5185.89539879099,5162.89682661945
1,prePM7,RS,-13.3641344198279,5262.40376485268,5275.76789927251
1,prePM7,RD,25.7311321222315,5262.40376485268,5236.67263273045
1,prePM7,WD,0.547616903545718,4928.61978585218,4928.07216894863
1,prePM7,FN,76.5083660616965,5262.40376485268,5185.89539879099
1,pm7,US,-27.8367696993716,10704.4948120836,10732.331581783
1,pm7,UD,2.31425391058448,10704.4948120836,10702.180558173
1,pm7,RS,-72.6137594966124,10624.0912012992,10696.7049607958
1,pm7,RD,-17.505150396834,10624.0912012992,10641.596351696
1,pm7,WD,-334.639283921355,9700.05196160335,10034.6912455247
1,pm7,FN,-80.4036107844038,10624.0912012992,10704.4948120836
1,pm6,US,61.1486901460419,7055.85616295047,6994.70747280443
1,pm6,UD,56.1696160276548,7055.85616295047,6999.68654692281
1,pm6,RS,22.6976726561044,7045.2603774198,7022.5627047637
1,pm6,RD,7.44363923742323,7045.2603774198,7037.81673818238
1,pm6,WD,-109.389149849889,7427.43970118651,7536.8288510364
1,pm6,FN,-10.5957855306682,7045.2603774198,7055.85616295047
1,pm5,US,-23.1200902264905,4113.50156259092,4136.62165281741
1,pm5,UD,-83.0079789406861,4113.50156259092,4196.50954153161
1,pm5,RS,-22.1140320722946,4116.1948050417,4138.30883711399
1,pm5,RD,-81.5086183897479,4116.1948050417,4197.70342343145
1,pm5,WD,-11.7461437340481,4039.5745472726,4051.32069100665
1,pm5,FN,2.6932424507754,4116.1948050417,4113.50156259092
1,pm4,US,23.1887669580337,8797.78524727077,8774.59648031274
1,pm4,UD,27.2505489602812,8797.78524727077,8770.53469831049
1,pm4,RS,23.1668430773142,8773.79684532608,8750.63000224876
1,pm4,RD,26.7774497061188,8773.79684532608,8747.01939561996
1,pm4,WD,39.4522210375661,8686.36987321167,8646.9176521741
1,pm4,FN,-23.9884019446927,8773.79684532608,8797.78524727077
1,pm3,US,19.4978296067773,7309.05982959912,7289.56199999234
1,pm3,UD,-1.86596932206252,7309.05982959912,7310.92579892118
1,pm3,RS,17.2432780610997,7312.9768848872,7295.7336068261
1,pm3,RD,-6.18154496344287,7312.9768848872,7319.15842985064
1,pm3,WD,-37.7947001665225,7442.31852585717,7480.11322602369
1,pm3,FN,3.91705528808125,7312.9768848872,7309.05982959912
1,postPM3,US,-66.7548380075403,3747.69501431376,3814.4498523213
1,postPM3,UD,-38.4101052663384,3747.69501431376,3786.1051195801
1,postPM3,RS,-48.6040628059726,3742.91074385031,3791.51480665628
1,postPM3,RD,-19.1819694673871,3742.91074385031,3762.0927133177
1,postPM3,WD,-59.2782295853358,3767.731168101,3827.00939768633
1,postPM3,FN,-4.78427046344655,3742.91074385031,3747.69501431376
1,medialAxis,US,-6.58651139529718,6566.59035877144,6573.17687016674
1,medialAxis,UD,-20.9018531694017,6566.59035877144,6587.49221194085
1,medialAxis,RS,-7.49576010712857,6566.81570731966,6574.31146742678
1,medialAxis,RD,-28.4448819415858,6566.81570731966,6595.26058926124
1,medialAxis,WD,-47.0369381381497,6499.32699677908,6546.36393491723
1,medialAxis,FN,0.2253485482098,6566.81570731966,6566.59035877144
1,pharynx,US,-8.84420414144064,6375.25372890718,6384.09793304863
1,pharynx,UD,-18.7116693193398,6375.25372890718,6393.96539822652
1,pharynx,RS,-9.12865876573886,6375.2537289072,6384.38238767294
1,pharynx,RD,-25.791099096234,6375.2537289072,6401.04482800343
1,pharynx,WD,-46.1712138246493,6312.71577005296,6358.88698387761
1,pharynx,FN,1.27056409837678e-11,6375.2537289072,6375.25372890718
2,prePM7,US,88.5007603092254,5212.89567169044,5124.39491138121
2,prePM7,UD,84.0154483675458,5212.89567169044,5128.88022332289
2,prePM7,RS,77.2353444714543,5304.18161434248,5226.94626987103
2,prePM7,RD,77.0612791571107,5304.18161434248,5227.12033518537
2,prePM7,WD,161.278490866392,4664.65551910181,4503.37702823542
2,prePM7,FN,91.2859426520422,5304.18161434248,5212.89567169044
2,pm7,US,89.0621509837414,10619.2556341829,10530.1934831991
2,pm7,UD,86.0764734594142,10619.2556341829,10533.1791607234
2,pm7,RS,55.1396044660436,10517.8637147729,10462.7241103069
2,pm7,RD,53.4418544577444,10517.8637147729,10464.4218603152
2,pm7,WD,68.8740279068518,10094.923913871,10026.0498859641
2,pm7,FN,-101.39191940996,10517.8637147729,10619.2556341829
2,pm6,US,59.9365647480403,6888.9225862065,6828.98602145846
2,pm6,UD,35.4193845769439,6888.9225862065,6853.50320162955
2,pm6,RS,30.2857475610958,6891.71201063237,6861.42626307128
2,pm6,RD,9.20958626554027,6891.71201063237,6882.50242436683
2,pm6,WD,186.033833247015,7934.94187465963,7748.90804141261
2,pm6,FN,2.78942442587424,6891.71201063237,6888.9225862065
2,pm5,US,67.8756813788102,4179.53137848153,4111.65569710272
2,pm5,UD,75.8872422387092,4179.53137848153,4103.64413624282
2,pm5,RS,57.1909398393813,4180.9869240794,4123.79598424002
2,pm5,RD,65.8606945051226,4180.9869240794,4115.12622957427
2,pm5,WD,54.6823131486518,4102.74936554735,4048.06705239869
2,pm5,FN,1.45554559786643,4180.9869240794,4179.53137848153
2,pm4,US,130.762734226789,8724.49918329376,8593.73644906697
2,pm4,UD,128.465223051924,8724.49918329376,8596.03396024183
2,pm4,RS,114.240550659088,8704.4615884116,8590.22103775252
2,pm4,RD,111.425750587889,8704.4615884116,8593.03583782372
2,pm4,WD,92.5537284182101,8285.47976200398,8192.92603358577
2,pm4,FN,-20.0375948821523,8704.4615884116,8724.49918329376
2,pm3,US,23.1380805536663,7241.88177444016,7218.7436938865
2,pm3,UD,28.6846954136976,7241.88177444016,7213.19707902646
2,pm3,RS,27.5419723277381,7245.45022858543,7217.90825625769
2,pm3,RD,28.9152781724603,7245.45022858543,7216.53495041297
2,pm3,WD,27.8477698178588,7415.59198390216,7387.7442140843
2,pm3,FN,3.5684541452651,7245.45022858543,7241.88177444016
2,postPM3,US,-13.4345170887195,3768.20303770879,3781.63755479751
2,postPM3,UD,3.53449188707805,3768.20303770879,3764.66854582171
