,animal,pair,strain,region,wavelength,value,experiment,movement,region_mvmt
0,0,0,HD233,pm3,470,5883.026773436932,2017_02_22-HD233_SAY47,0,AnteriorBulb
1,0,0,HD233,pm3,470,5883.026773436932,2017_02_22-HD233_SAY47,0,PosteriorBulb
2,0,0,HD233,pm3,470,5883.026773436932,2017_02_22-HD233_SAY47,0,SidesOfTip
3,0,0,HD233,pm3,470,5883.026773436932,2017_02_22-HD233_SAY47,1,Tip
4,1,0,HD233,pm3,470,5442.146660382292,2017_02_22-HD233_SAY47,0,AnteriorBulb
5,1,0,HD233,pm3,470,5442.146660382292,2017_02_22-HD233_SAY47,0,PosteriorBulb
6,1,0,HD233,pm3,470,5442.146660382292,2017_02_22-HD233_SAY47,0,SidesOfTip
7,1,0,HD233,pm3,470,5442.146660382292,2017_02_22-HD233_SAY47,0,Tip
8,2,0,HD233,pm3,470,6947.094032335617,2017_02_22-HD233_SAY47,0,AnteriorBulb
9,2,0,HD233,pm3,470,6947.094032335617,2017_02_22-HD233_SAY47,0,PosteriorBulb
10,2,0,HD233,pm3,470,6947.094032335617,2017_02_22-HD233_SAY47,0,SidesOfTip
11,2,0,HD233,pm3,470,6947.094032335617,2017_02_22-HD233_SAY47,0,Tip
12,3,0,HD233,pm3,470,6205.376278314706,2017_02_22-HD233_SAY47,0,AnteriorBulb
13,3,0,HD233,pm3,470,6205.376278314706,2017_02_22-HD233_SAY47,0,PosteriorBulb
14,3,0,HD233,pm3,470,6205.376278314706,2017_02_22-HD233_SAY47,0,SidesOfTip
15,3,0,HD233,pm3,470,6205.376278314706,2017_02_22-HD233_SAY47,0,Tip
16,4,0,HD233,pm3,470,6734.1024042314175,2017_02_22-HD233_SAY47,0,AnteriorBulb
17,4,0,HD233,pm3,470,6734.1024042314175,2017_02_22-HD233_SAY47,0,PosteriorBulb
18,4,0,HD233,pm3,470,6734.1024042314175,2017_02_22-HD233_SAY47,0,SidesOfTip
19,4,0,HD233,pm3,470,6734.1024042314175,2017_02_22-HD233_SAY47,0,Tip
20,5,0,HD233,pm3,470,5842.826215685915,2017_02_22-HD233_SAY47,0,AnteriorBulb
21,5,0,HD233,pm3,470,5842.826215685915,2017_02_22-HD233_SAY47,0,PosteriorBulb
22,5,0,HD233,pm3,470,5842.826215685915,2017_02_22-HD233_SAY47,0,SidesOfTip
23,5,0,HD233,pm3,470,5842.826215685915,2017_02_22-HD233_SAY47,0,Tip
24,6,0,HD233,pm3,470,6045.925101261056,2017_02_22-HD233_SAY47,0,AnteriorBulb
25,6,0,HD233,pm3,470,6045.925101261056,2017_02_22-HD233_SAY47,0,PosteriorBulb
26,6,0,HD233,pm3,470,6045.925101261056,2017_02_22-HD233_SAY47,0,SidesOfTip
27,6,0,HD233,pm3,470,6045.925101261056,2017_02_22-HD233_SAY47,0,Tip
28,7,0,HD233,pm3,470,6204.639472394416,2017_02_22-HD233_SAY47,0,AnteriorBulb
29,7,0,HD233,pm3,470,6204.639472394416,2017_02_22-HD233_SAY47,0,PosteriorBulb
30,7,0,HD233,pm3,470,6204.639472394416,2017_02_22-HD233_SAY47,0,SidesOfTip
31,7,0,HD233,pm3,470,6204.639472394416,2017_02_22-HD233_SAY47,0,Tip
32,8,0,HD233,pm3,470,7079.361606882547,2017_02_22-HD233_SAY47,0,AnteriorBulb
33,8,0,HD233,pm3,470,7079.361606882547,2017_02_22-HD233_SAY47,0,PosteriorBulb
34,8,0,HD233,pm3,470,7079.361606882547,2017_02_22-HD233_SAY47,0,SidesOfTip
35,8,0,HD233,pm3,470,7079.361606882547,2017_02_22-HD233_SAY47,0,Tip
36,9,0,HD233,pm3,470,7979.911467298977,2017_02_22-HD233_SAY47,0,AnteriorBulb
37,9,0,HD233,pm3,470,7979.911467298977,2017_02_22-HD233_SAY47,0,PosteriorBulb
38,9,0,HD233,pm3,470,7979.911467298977,2017_02_22-HD233_SAY47,0,SidesOfTip
39,9,0,HD233,pm3,470,7979.911467298977,2017_02_22-HD233_SAY47,0,Tip
40,10,0,HD233,pm3,470,6721.191409008678,2017_02_22-HD233_SAY47,0,AnteriorBulb
41,10,0,HD233,pm3,470,6721.191409008678,2017_02_22-HD233_SAY47,0,PosteriorBulb
42,10,0,HD233,pm3,470,6721.191409008678,2017_02_22-HD233_SAY47,0,SidesOfTip
43,10,0,HD233,pm3,470,6721.191409008678,2017_02_22-HD233_SAY47,0,Tip
44,11,0,HD233,pm3,470,6564.366858521006,2017_02_22-HD233_SAY47,0,AnteriorBulb
45,11,0,HD233,pm3,470,6564.366858521006,2017_02_22-HD233_SAY47,0,PosteriorBulb
46,11,0,HD233,pm3,470,6564.366858521006,2017_02_22-HD233_SAY47,0,SidesOfTip
47,11,0,HD233,pm3,470,6564.366858521006,2017_02_22-HD233_SAY47,0,Tip
48,12,0,HD233,pm3,470,5265.327295712979,2017_02_22-HD233_SAY47,2,AnteriorBulb
49,12,0,HD233,pm3,470,5265.327295712979,2017_02_22-HD233_SAY47,0,PosteriorBulb
50,12,0,HD233,pm3,470,5265.327295712979,2017_02_22-HD233_SAY47,2,SidesOfTip
51,12,0,HD233,pm3,470,5265.327295712979,2017_02_22-HD233_SAY47,0,Tip
52,13,0,HD233,pm3,470,6545.801277039355,2017_02_22-HD233_SAY47,0,AnteriorBulb
53,13,0,HD233,pm3,470,6545.801277039355,2017_02_22-HD233_SAY47,0,PosteriorBulb
54,13,0,HD233,pm3,470,6545.801277039355,2017_02_22-HD233_SAY47,0,SidesOfTip
55,13,0,HD233,pm3,470,6545.801277039355,2017_02_22-HD233_SAY47,0,Tip
56,14,0,HD233,pm3,470,5226.806336714762,2017_02_22-HD233_SAY47,0,AnteriorBulb
57,14,0,HD233,pm3,470,5226.806336714762,2017_02_22-HD233_SAY47,0,PosteriorBulb
58,14,0,HD233,pm3,470,5226.806336714762,2017_02_22-HD233_SAY47,0,SidesOfTip
59,14,0,HD233,pm3,470,5226.806336714762,2017_02_22-HD233_SAY47,0,Tip
60,15,0,HD233,pm3,470,7108.311542504575,2017_02_22-HD233_SAY47,0,AnteriorBulb
61,15,0,HD233,pm3,470,7108.311542504575,2017_02_22-HD233_SAY47,0,PosteriorBulb
62,15,0,HD233,pm3,470,7108.311542504575,2017_02_22-HD233_SAY47,0,SidesOfTip
63,15,0,HD233,pm3,470,7108.311542504575,2017_02_22-HD233_SAY47,0,Tip
64,16,0,HD233,pm3,470,6252.564243852046,2017_02_22-HD233_SAY47,0,AnteriorBulb
